"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36"
"11" 412.091440063102 413.383437841854 414.522134729402 415.399310102045 415.746657702701 415.044925830149 413.848389807498 411.855707106375 410.92932458764 411.191896162022 412.181448186782 413.264987292618 414.368135282189 415.526600870632 416.58191007436 417.484363465656 417.860334806736 417.169701873655 415.978630032175 414.007241087435 413.115669423651 413.352230148464 414.334245144469 415.432739739415 416.528063767888 417.681729211494 418.733731229949 419.636935202994 420.013873343731 419.323647260156 418.132820884145 416.162282946612 415.272057929306 415.507621246074 416.489340095913 417.58840144672
"12" 413.385788922733 414.117474562544 414.987640578662 415.969075875463 415.974240715977 415.530600593371 414.3729519228 412.78459400011 411.70686961649 411.820503649091 412.847591236152 414.149933387303 415.317865205481 416.281026764631 417.312857217007 418.322222002288 418.273805935168 417.797443287517 416.613323990226 415.038071900215 413.974471306337 414.078840915522 415.110062928333 416.433154673908 417.592444205802 418.549366013054 419.577621355598 420.586830420633 420.539978009197 420.064420699462 418.88083005877 417.305180566804 416.241215738598 416.345814548057 417.376960646896 418.699576162179
"13" 412.35788608599 413.279769467071 414.539851578181 415.405916266473 415.947035810997 415.449753226617 413.99347374666 412.220967507187 411.145701968759 411.375362948111 412.359247703818 413.502485571008 414.686040269687 415.692513807436 416.82713422422 417.568241988612 418.067234142187 417.533353982515 416.119482894472 414.439099607859 413.398139116654 413.611136866957 414.543638568363 415.68255019064 416.860177418267 417.858855665734 419.006884487058 419.760818471461 420.263865176105 419.733603612048 418.315291877246 416.625377436249 415.580917531176 415.795686280065 416.733540143935 417.87287901322
"14" 413.192790180018 414.21524029135 415.084120701208 416.020266211667 416.506193029338 415.829111231269 414.608088270137 413.02320173588 412.199303328831 412.187374100142 412.956585956493 414.119558325417 415.36421785989 416.387388722515 417.330079625411 418.248877102111 418.698828748215 418.019044305399 416.799888609709 415.228527046444 414.42578343596 414.373842920299 415.177738063658 416.329930568166 417.571482582578 418.594341354352 419.535514923476 420.455626126561 420.906972484184 420.227122630044 419.007616166523 417.435665475264 416.632281862552 416.581643153471 417.384576516955 418.537117898943
"15" 411.69254398585 413.266672940995 414.632763261044 415.661095967092 416.039365342667 415.044854005439 413.80627279353 412.36557290891 411.497173205265 411.560798438265 412.438642381197 413.592488608204 414.235917414873 415.519773526648 416.671855999169 417.702240448865 418.156522241131 417.253337421024 416.070609828074 414.63522216567 413.749787236403 413.785061392012 414.627291341884 415.781861729933 416.436236782191 417.730882668117 418.889918190404 419.92060582216 420.372256973776 419.465990366588 418.281447884954 416.845876413351 415.96107604327 415.997231329469 416.840299526264 417.994882225521
"16" 412.510252380601 413.608387598927 414.650034175464 415.395405885972 415.716511143523 415.198052635884 413.925819297628 412.219350002849 411.348640064185 411.407695330466 412.476269830991 413.511089802235 414.554158035555 415.664234670876 416.755533783671 417.540624419392 417.822049386882 417.306141925226 416.042942821597 414.33688421502 413.465854104444 413.52010077859 414.586191956328 415.629288770232 416.670443034466 417.779889146027 418.869990034733 419.654278873644 419.936598786129 419.420712475602 418.157354681382 416.451277624189 415.580234308132 415.634566140181 416.700705456527 417.743637313516
"17" 412.466388211737 413.480051716215 414.548798659678 415.34847234713 415.606149939169 415.32740907817 413.943076261422 412.205860583164 411.00692766853 411.425994535903 412.460204744331 413.716025951325 414.775012095655 415.728479699654 416.698356165562 417.459264357012 417.788810932817 417.533840625965 416.158846205436 414.407931070016 413.206515198051 413.62891005243 414.666922970022 415.894560125332 416.957806775473 417.916553419722 418.892888975056 419.655798951764 419.980614777789 419.723835867333 418.348213634748 416.598229661625 415.397137642995 415.819432577345 416.857216862989 418.086412764837
"18" 412.441290221408 413.382002526634 414.161032366743 415.308650768084 415.573207067837 415.167906070079 413.935706894277 412.199218751081 411.136316252299 411.225933325181 412.158058906277 413.472092058309 414.676907611254 415.697099878971 416.445219914547 417.541680533133 417.763386320469 417.392507459604 416.115397942557 414.372445327675 413.340460098223 413.454439169707 414.39070253793 415.688500862054 416.884957223821 417.901795621009 418.651376965802 419.750116533688 419.973685809007 419.601293277656 418.326119989547 416.583443251848 415.550116275864 415.663039796862 416.599125076469 417.897628981193
"19" 413.224334044604 413.958689843229 414.809764388195 415.934675000946 416.335284208802 415.927183096882 414.470823014564 413.031488430268 411.953262905193 412.186232433619 412.941780881826 414.118030689548 415.367660047376 416.306744139109 417.230717736306 418.224339243255 418.52513052489 418.068914176048 416.682047500512 415.213344401254 414.142443012616 414.245055554328 415.066966996507 416.20693493095 417.499050612846 418.463477538137 419.397201373934 420.37438966417 420.662777395292 420.200509497026 418.822735182738 417.349941689819 416.279846419448 416.365202223893 417.195902006518 418.331130207226
"20" 412.054045986885 413.210021747966 414.292976515666 415.485463367124 415.625983022054 414.787922602649 413.492292498394 412.1807544603 411.314533253715 411.300820401782 412.230361653703 413.432334119578 414.490579139576 415.577385177103 416.513764932198 417.65336359747 417.788250662853 416.930526938669 415.666832624566 414.333985278509 413.50502460842 413.504369130765 414.445736066739 415.588131078078 416.647503449943 417.740952228519 418.687652872587 419.830473172016 419.965096472408 419.108106832764 417.84225257415 416.510846020763 415.679707255999 415.678328312272 416.618960999253 417.765061558216
